dataset,model,failure_kind,heuristic_type,id,question,ground_truth,prediction,exact_match,token_f1,contains_ground_truth,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,similarity_BAAI_bge_base_en_v1.5
results_nq,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,sample_10,"Zinc is more easily oxidized than iron because zinc has a lower reduction potential. since zinc has a lower reduction potential, it is a more what?",active metal,active,0,0.6666666666666666,0,0,0.5899034738540649,0.8021406531333923
results_nq,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,sample_11,What is controlled by both genes and experiences in a given envionment?,animal behaviors,Behavior,0,0.0,0,0,0.6072867512702942,0.8763943910598755
results_nq,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_14,What is controlled by regulatory proteins that bind to regulatory elements on dna?,gene transcription,Gene expression,0,0.5,0,0,0.7839295864105225,0.861060380935669
results_nq,BGE,high_similarity_wrong,morphology_or_inflection,sample_30,Where do angiosperms produce seeds in flowers?,ovaries,Ovary,0,0.0,0,0,0.8327300548553467,0.8951192498207092
results_nq,BGE,high_similarity_wrong,morphology_or_inflection,sample_38,"Fungus-like protist saprobes play what role in a food chain and are specialized to absorb nutrients from nonliving organic matter, such as dead organisms or their wastes?",decomposers,Decomposer,0,0.0,0,0,0.959020733833313,0.9136912226676941
results_nq,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_57,"Whether the organism is a bacterium, plant, or animal, all living things access energy by breaking down these?",carbohydrate molecules,food molecules,0,0.5,0,0,0.695904552936554,0.8517604470252991
results_nq,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,sample_63,What's the term for the gradual progression from simple plants to larger more complex ones in an area?,primary succession,Succession,0,0.6666666666666666,0,0,0.8740105032920837,0.8195450901985168
results_nq,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_66,What consequence of a tornado is responsible for most injuries and deaths?,flying debris,Debris impact,0,0.5,0,0,0.7417299747467041,0.8136395812034607
results_nq,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_88,Most of the pathogens that cause stis enter the body through mucous membranes of which organs?,reproductive organs,Sexual organs.,0,0.5,0,0,0.8157496452331543,0.8409339785575867
results_nq,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_95,"When water goes above and below its freezing point, what rock-breaking phenomenon is common?",ice wedging,Frost wedging,0,0.5,0,0,0.8144583702087402,0.8935737609863281
results_nq,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_97,What type of reactions form compounds?,chemical reactions,Synthesis reactions,0,0.5,0,0,0.7546690106391907,0.8366626501083374
results_nq,BGE,high_similarity_wrong,numeric_equivalence,sample_108,How many different types of taste can be detected by taste buds?,five,5,0,0.0,0,0,0.9229784607887268,0.9198909997940063
results_nq,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_115,What renewable energy source converts energy from the sunlight into electricity?,solar energy,Solar panels,0,0.5,0,0,0.7587158679962158,0.8369268774986267
results_nq,BGE,high_similarity_wrong,semantic_relatedness_not_correctness,sample_120,Phosphate-containing ocean sediments form primarily from the bodies of ocean organisms and from their what?,excretions,excreta,0,0.0,0,0,0.8667148351669312,0.859900712966919
results_nq,BGE,high_similarity_wrong,semantic_relatedness_not_correctness,sample_124,"A few earthquakes take place away from plate boundaries, these are called what?",intraplate earthquakes,Intra-plate earthquakes,0,0.4,0,0,0.8981689214706421,0.976912796497345
results_nq,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_131,"First, high temperature denatures proteins and does what to cells?",kills them,Kills cells,0,0.5,0,0,0.502190351486206,0.8010231852531433
results_nq,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_136,What occurs when groups from the same species stop mating because of something other than physical or geographic separation?,sympatric speciation,Allopatric speciation,0,0.5,0,0,0.6714089512825012,0.8873976469039917
results_nq,BGE,high_similarity_wrong,other_or_true_semantic_error,sample_144,What are made of long chains consisting almost solely of carbon and hydrogen?,lipids,Fats,0,0.0,0,0,0.6038416028022766,0.8222715258598328
results_nq,BGE,high_similarity_wrong,semantic_relatedness_not_correctness,sample_152,What do ranchers fear will happen if wolves return?,livestock predation,Increased predation on cattle.,0,0.3333333333333333,0,0,0.876013994216919,0.879291296005249
results_nq,BGE,high_similarity_wrong,other_or_true_semantic_error,sample_188,What does the cell cycle do?,divide and reproduce cells,Generates new cells through division.,0,0.22222222222222224,0,0,0.7762211561203003,0.8176991939544678
results_nq,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_216,Global warming will raise ocean levels due to melt water from glaciers and the greater volume of what?,warmer water,warm water,0,0.5,0,0,0.9005038738250732,0.9438206553459167
results_nq,BGE,high_similarity_wrong,morphology_or_inflection,sample_217,What are groups of young stars loosely held together by gravity called?,open clusters,Open cluster,0,0.5,0,0,0.9454847574234009,0.9744434952735901
results_nq,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_220,What does the driving of turbines by the heating of water to steam accomplish?,generation of electricity,Generates electricity.,0,0.4,0,0,0.8558413982391357,0.8841770887374878
results_nq,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,sample_221,What is a device that changes kinetic energy to electrical energy through electromagnetic induction?,an electric generator,Generator,0,0.6666666666666666,0,0,0.8309646248817444,0.8594815135002136
results_nq,BGE,high_similarity_wrong,semantic_relatedness_not_correctness,sample_227,What property of warm air causes it to rise above cold air?,lower density,Less dense,0,0.0,0,0,0.7964804172515869,0.8733506798744202
results_nq,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_233,What are fibers that depend on aerobic respiration called?,oxidative fibers,Aerobic fibers,0,0.5,0,0,0.6363407969474792,0.8410003781318665
results_nq,BGE,high_similarity_wrong,other_or_true_semantic_error,sample_247,The simplest class of organic compounds is the what?,hydrocarbons,alkanes,0,0.0,0,0,0.692003071308136,0.8434637188911438
