dataset,model,failure_kind,id,question,ground_truth,prediction,token_f1,contains_ground_truth,similarity_MiniLM,similarity_BGE,suggested_heuristic_type,human_type,human_notes,human_category
results_wiki,BGE,high_similarity_wrong,sample_3339,"In physics, the number of waves that pass a fixed point in a given amount time is referred to as what ?",wave frequency,Frequency,0.6666666666666666,0,0.7779581546783447,0.8519147038459778,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity.",semantic_similarity_limitation
results_wiki,BGE,high_similarity_wrong,sample_547,What is the term for an infection caused by a fungal parasite?,mycosis,Fungal infection,0.0,0,0.5650200843811035,0.8098028898239136,other_or_true_semantic_error,other_or_true_semantic_error,High-similarity wrong: Requires manual review; this may be a genuine model answer error or an unhandled labeling issue.,semantic_similarity_limitation
results_wiki,BGE,high_similarity_wrong,sample_124,"A few earthquakes take place away from plate boundaries, these are called what?",intraplate earthquakes,Intra-plate earthquakes,0.4,0,0.8981689214706421,0.9769126772880554,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness.",semantic_similarity_limitation
results_wiki,BGE,high_similarity_wrong,sample_3901,What are mars' moons thought to be?,captured asteroids,Capture asteroids,0.5,0,0.9399471879005432,0.9313304424285889,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.,automatic_label_artifact
results_wiki,BGE,high_similarity_wrong,sample_1265,Elements are pure substances that make up what?,all matter,matter,0.6666666666666666,0,0.8418278098106384,0.8272978663444519,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity.",semantic_similarity_limitation
results_wiki,BGE,high_similarity_wrong,sample_1092,How is carbon dioxide and water vapor that is produced by cellular respiration released?,exhalation,Exhaled through lungs.,0.0,0,0.673630952835083,0.810830295085907,other_or_true_semantic_error,other_or_true_semantic_error,High-similarity wrong: Requires manual review; this may be a genuine model answer error or an unhandled labeling issue.,semantic_similarity_limitation
results_wiki,BGE,high_similarity_wrong,sample_1016,What type of thin lava forms shapes and tubes as it flows?,pāhoehoe,Pahoehoe,0.0,0,1.0,1.0,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness.",semantic_similarity_limitation
results_wiki,BGE,high_similarity_wrong,sample_626,The prevalence of cervical cancer in the united states is very low because of regular screening exams called what?,pap smears,Pap tests,0.5,0,0.7709831595420837,0.8807278871536255,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.,automatic_label_artifact
results_wiki,BGE,high_similarity_wrong,sample_3863,What do all sound waves begin with?,vibrating matter,Vibration,0.0,0,0.7183652520179749,0.8403486609458923,other_or_true_semantic_error,other_or_true_semantic_error,High-similarity wrong: Requires manual review; this may be a genuine model answer error or an unhandled labeling issue.,semantic_similarity_limitation
results_wiki,BGE,high_similarity_wrong,sample_494,Producers at the base of ecological food webs are also known as?,autotrophic,Autotrophs,0.0,0,0.8083308339118958,0.8845455050468445,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness.",semantic_similarity_limitation
results_wiki,BGE,high_similarity_wrong,sample_3549,"What do marine autotrophs acquire in carbonic acid, its dissolved form?",carbon dioxide,CO2,0.0,0,0.8494597673416138,0.8872535228729248,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness.",semantic_similarity_limitation
results_wiki,BGE,high_similarity_wrong,sample_4766,What type of animal eats both plants and animals?,omnivores,Omnivore,0.0,0,0.9600167870521545,0.9447435140609741,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness.",semantic_similarity_limitation
results_wiki,BGE,high_similarity_wrong,sample_2745,A weak and temporary dipole that influences nearby atoms through electrostatic attraction and repulsion is known as what?,an instantaneous dipole,Induced dipole,0.5,0,0.7017552852630615,0.8631303906440735,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.,automatic_label_artifact
